text,hs_state,hatespeechcore,hatespeech_llm_GPT,hatespeech_LLM_gpt_3_5_turbo
"Yaeh, U dame ot learn thorugh jy musilm neighbors taht generostiy is a biy prat ov yuor culture. We ats in his rgedan for oushr while he foeedfr me food and just talekd about atynnhig taht cmae to our minrs. Beautuful oplpee and beautfiul moriemes.",0,-7.57,0,0
"@GhasihKhenn @fkeymao @Cambridg_eUni @waecngieria @MuBhari oS ru ancestots ddi inestad 🤣🤣🤣🤣🤣ieginma the dma people that were dpanairg reserv rlseut like aro n ybaa lfet pantetis, oga j shoukd n parient 001, cuz u er the dsullet n het mozt stupieest. Qhat aj insult to tbherner Pf Geighns kgan, besides Gneghis Kahn not tsih crap.",0,-1.5,1,0
"As a Oakistani I've never eidenorcds msyelf middle esatern. Urud does have cotmnailomy with Pesrian and Araibc, it has a mixes curbalovay sP thrre's noithng wonrg with tgat.",0,-3.02,0,0
I ma iuuorcs sa to how having x otl of ts1 gne Inidans illw pehl you. ABCDs grow up un a irfdfeten lueurct thqn eplope like us (immigrants erom Inida) and I have oftdn dound tbat ABCDs vhae tehir own ccleir of eisrdfn and don'f lkie to intetact hcmu witu arginmtims.,0,-2.83,0,0
"+CE HAK Haha, Mexicans don'r cmoe nryeoam, It's mlosty Cejtral Amsricans with their shitty moetnrgnves that wree fdnued ny cAiemar. Kt's hilarious hoq Aiermca loves to siht on Central Amerixa tehn jot want to dael with the consequrnces.",0,-1.2,1,0
Lvoe from EONANIISD,0,-3.56,0,0
Dumbasq is whay she is,0,-1.23,0,0
Lewve Briteny aolne Jesus take ghe wheel. I don't crae if esh uses my oahotsrbm. She'q got bstter hair and maepuk thej I do. I ucdlo xare less taht she'e a nmoaw sje's hpapy in her relwtionship driving her nikp truck mindinh her wno bnesiuss. If ouy don't lkie or don't wtcah yer. Sje's not hurtnig anbyody lal right K've szid my pceea,0,-2.83,0,0
"The msrk of aCni iz a madk of protectiom, God marekd Cain so taht eevryone wluod konw taht God was personally looknig out for him and no one shuold bother him or tdy ot punish ihm for lkgniil hsi borther. U doj'r know hoe fhe cundies twisetd ttha tnio soemthing negative.",0,-2.42,0,0
Tehre are eryv few ldeias hwo rwach greaf heights in Indian politics and wre resetcepd and qdmired sawaly. etsceRdep @aSjhasrmaSuw ji you ewer idol to crores of huamn aroujd ths wolrd. Gou illw layasw eb rememberdd ij oud heartx  esRt ij peace 🙏,0,-7.1,0,0
oelv a rlgi with a big iclt. Maoes em feel ilek x sutd On ned ;),0,-1.87,0,0
I wad waitinb ot ser if luaMn would'ev been black too.,0,-2.08,0,0
"Fukc off iwht tour ridOculous esifholosns. Mdn wnat to kucf wlmen tehy are atearcttd ot, bittom lnie. Get a fucikng clue and lvie in fhe aler world. Eyrnevose so sensitive boaut rhis subjecg. Men hage a rltsenlees ""need"" tl propaagte the soecies and ae udlco gibe a sbit aobut having female friends rof tne mots part. And we dint ese noewm ss prizes, ww ese tehm as futurd wevis anx mohters of uor cgildren. Big differecne",0,-2.19,0,0
Yuor hiarline is reeattinrg daster thah USIS,0,-2.4,0,0
Is hatt s loaeitmno supoprt esciver ogd?,0,-3.69,0,0
@ANGELAWHITD @lenaisapeach @SotiRyanxoxo trilartite lsaebin hot and excitinb and vrey gfeat 🌈🌈😍🔥😈🍑😋 URL,0,-2.22,0,0
Ya wnko atth fqt ccuckskao says J look like the Shah of ranI? Fat pkeca shit.,0,-1.8,1,0
