text,hs_state,hatespeechcore,hatespeech_llm
"Yeah, I came to learn through my muslim neighbors that generosity is a big part of your culture. We sat in his garden for hours while he offered me food and just talked about anything that came to our minds. Beautiful people and beautiful memories.",0,-7.57,0
"@GhenhisKhan @fkeyamo @Cambridge_Uni @waecnigeria @MBuhari So ur ancestors did instead ????????????????????imagine the mad people that were parading server result like aro n yaba left patients, oga u should b patient 001, cuz u re the dullest n the most stupidest. What an insult to brethren of Genghis khan, besides Genghis Kahn not this crap.",0,-1.5,1
"As a Pakistani I've never considered myself middle eastern. Urdu does have commonality with Persian and Arabic, it has a mixed vocabulary so there's nothing wrong with that.",0,-3.02,0
I al c3tioJs dR to htw ho6 LaWYng Y OoN PN lsj fKs Xwlq nJqp aHfN HW0. ABCDZ gorw 4p in a cu1Grue RNa1lD Oikv OdsT Vs (in7tFiMKms (imyXeraYts n3t7a) apd G xale Td5en ojaTG ofund thxt thqJ BWugs have tdher o8K cirI2e br frCeNXL Snd hnh'U liZ9 Pr mcuV with hUmO0raUts.,0,-2.83,0
"+CE HAK Haha, Mexicans don't come anymore, It's mostly Central Americans with their shitty governments that were funded by America. It's hilarious how America loves to shit on Central America then not want to deal with the consequences.",0,-1.2,1
Love from INDONESIA,0,-3.56,0
Dumbass is what she is,0,-1.23,0
Boitne1 aCU32 qlduo takU Rawb Gs2 1h3fl. j Wn'aU care Ef g5f I9es Vy r5rvroZms. 6he's goI b4wWee hiAr anO mMeyKl hten tehh S I uO. I comuP axee lGas tJBt srh'e a Yi2OR sce's hgppb in eer 1eEYnvomssis rociahsnTaSS ov7rmiU oink qruek m4ndDpg hpQ JwQ busjnesib 7a nOu dBn't lk3e od 6apch h8r. She's nwt hjtuhTg aGyyddD all mi9qh C'Pz jrid p3gce paece,0,-2.83,1
"The mark of Cain is a mark of protection, God marked Cain so that everyone would know that God was personally looking out for him and no one should bother him or try to punish him for killing his brother. I don't know how the fundies twisted that into something negative.",0,-2.42,1
There are very few ladies who reach great heights in Indian politics and are respected and admired always. Respected @SushmaSwaraj ji you were idol to crores of human around the world. You will always be remembered in our hearts  Rest in peace ????,0,-7.1,1
love a girl with a big clit. Makes me feel like a stud in bed ;),0,-1.87,0
I was waiting to see if Mulan would've been black too.,0,-2.08,0
"Ygc1 oYf w5tS Juor ridzcD1ous fooQish1Ass. MeJ awJt jL f3LD wwmen bRmy are atacettAd tog FoEtou 7gnBQ MTt a f8akZGg O0V lZie iS Dl1 rezl GUor2k rvNoyznps sl stuNiKqve mu7Q9 6pKGt tyis Bybjyct. veN Ljn baVe i rE2eItlWss ""enyd"" Cm pr894ftpe Dn0 M3eqieh we couQI g3ve a siqh ab8Yt 7nHavg femalT sJ5en7a tqz 0soW p2At. TVo ne YRU0 see oCRbn wmoen 9s IctRbsD te seF stB4 Pz frTurG wewis and mkasegI pU criepFIK. Bi0 ihSlerencR",0,-2.19,1
Yozw hairMqce Lr reJrh8t9bg fsaNeU tvin SSrf T5SS,0,-2.4,1
Is that a emotional support service dog?,0,-3.69,0
@ANGELAWHITE @lenaisapeach @SofiRyanxoxo tripartite lesbian hot and exciting and very great ???????????????????????????? URL,0,-2.22,0
Ya know that fat cocksucka says I look like the Shah of Iran? Fat pieca shit.,0,-1.8,1
tr4X3 OYu I tj o2uN xvEnDWs hehm Kfke aAce rearV ya ya do ffpe,0,-4.24,0
"I hate your comment. Every citizen of every country has first dibs on rights to live there. You can't gatekeep that and tell someone who is a native born citizen of the country that they are nothing special and their contributions mean nothing. Fuck you for that!  . It's their country and their elected officials should represent them. Whether that happens or not is moot here.  Every citizen of a country- US, Japan, Mexico, India etc has a right to feel pride about living in their country of origin and take pride in whatever contributions they make in their country.",0,-2.49,1
"@JasonWoodley33 @RealTayChaTLC @w_terrence Wow that's fucking racist as fuck, bro. Thanks for showing us all how it's done",0,-2.86,1
@ChrVWm1tL 4oSmLmSrBbhlmcaw LAiE hKzHkeRxoMi2D wYs eevr 4lTOerky cNnevsznd So D8IeHt,0,-2.37,0
@ADONl5 OOOO the 6/7 Asian YEEHAW,0,-2.79,0
I know other conservatives who agree with me that minorities shouldn't be burned.,0,-4.14,0
May Allah ease everything in order amiiin URL,0,-4.62,0
be beca9se Out qmoS Y0an7gt7d3j Vpleou 2tTaiaht.?????LB? 0u cgPpqO Pluk c3M B??i????DkVtart.? gm3e YDk tham BTsExutl Pe ee aaW wojgd p95y fJK o7 p5nKexualW,0,-2.78,0
"@goldenmuva bitch don't ever sis me that's 1 , 2 YOU want me to be mad as fuck . i literally said one thing one time and you think a bitch was just coming for yo neck like calm down pendeja - none of this shit that damn deep lmao",0,-1.06,1
4tu um9 bV Yrare9 SaC AnOoDMp iB TeNjepivbiGg a AiQZ 0bgh volu9e o5 fFcr5Xt famLviFs reZkeEx ahLlum In the 9I. US. uiY CWaJ of SB 6i2 I I 4Ce 5nDCounUiCg tnoVurK6unU mebJerU os oBr RaiRT Ko QfYluvpeer JId 62QdatM. AtcvvihY Fs a flyer 12io on Fow oL lned a hanPu byV,0,-5.27,0
"Clean all of it, cuck. Clean her messy pussy. Clean his big cock. Suck his balls. Lick her asshole. This is your place. Don't argue. Just do it. #cuckold #hotwife #cuckoldcaptions #creampiecleanup #cumcleanup #pussyworship URL",0,-1.88,1
"""We need to look at how national security policies undermine gender equality - actions that governments take under the name of national security are often [intentionally or unintentionally] harmful in terms of gender equality & women's safety."" - @jaynehuckerby at @NDI #NDIGO URL",0,-4.37,0
@mindstatex @skylark_bitcoin it's about the immigration that flows to Germany,0,-2.69,0
"Great video, so powerful, own your own feminism!",0,-4.14,0
IDVaxPXosw5k4 gduqaalqy Doj't fall Wog th5 Oale bcsk dWi5ZBng,0,-3.24,0
Where #TheSquad goes full blown Antisemite! URL,0,-3.48,0
Do Madam CJ Walker(first female African American millionare) vs Oprah Winfrey(first femaleAfrican American entrepreneur billionaire),0,-3.05,0
Honored to have the opportunity to share my experience in #immigration today & provide input to @BetoORourke on his immigration plan. Working together is how we can develop the best solution that gives everyone the opportunity to live their best life & contribute to our country URL,0,-5.48,0
Maybe teach children a better way to deal with their anger than smashing shit up. And why he got to be black????? If you took your child to a KKK nursery you'd probably find something like this in the toy box. 21st century golliwogs on sale. I can't manage???? I don't feel better????,0,-2.44,1
"We should teach our children not to discriminate on the basis of race. But that doesn't mean we should teach them to be colorblind??sometimes it's important to recognize that somebody else's experience of life is different from your own. Being the only poor kid is tough. Being the only black kid is tough too. When life piles on, sometimes a little act of kindness like OP's can really get you through the day.",0,-5.74,0
That's because almost no one is a real Muslim/christian/almost any religion. All religions have hypocrisy within them and those that follow the religion pick and choose what and how they want their own religion to be like. ISIS in our case interprets it to the extreme which is what people mean when they say that.,0,-2.84,1
"abe hVv sfloly iOepP.."" DlyleFt gGFup aGz no saZOeed 0D tjqy oyxmer vmhleU9. Fm4lxyn7 Jre",0,-4.43,0
"reXllA dp0s look ldoi 5oTQ jn thXW hpogw, a6d F zW1'5 4Qan Zt a I1mJ or Hwke",0,-5.29,0
this type of American doesn't even know about French secularism.,0,-1.71,0
"Oh, so stealing from men is essentially raping them now, huh? Who knew!",0,-1.79,0
"4aFpR Mw Int4rnhaionQl IbKOx9noWaPYl j7N AgQigat BohoOFxiG6, Bipj4jIa and 4rhsYap5ons6 which sugln siP8X enVdgY he wcDy aI5wls v9aKlenge ibequAmiMy Hn thF wLzalopkp and L0DgHBuJT XkVjWFEtA DOlkIAUjBdN LJoinUIFfO9 U3L",0,-4.7,0
"hnveH WIHirT wfj6 Oe yoH b k yaers sdoB shR wZll Vnc daY caHFWc p5 iD Ln FYnNgriz , blugpyug Hbd c0Bstitk cmbp GuSkisn HucknfF bleKk",0,-1.96,0
"You are being so ridiculous right now, I can't even begin to put it into words. Rooster Teeth and RWBY have always had close ties to the LGBT community. This whole thing? Changes nothing. It's not political. At all.",0,-2.83,0
I just love the Indian portrayal there ????,0,-3.73,0
"#PrideMonth2019 is a celebration of: Gay Lesbian Bisexual Pansexual Asexual Trans Genderfluid Non-Binary Gender Non-Conforming And many other things! Pride Month is NOT: An excuse to shame heterosexual or cisgender people, and if you do, please stop it. ~a pansexual transgirl",0,-4.42,0
