File_P,Filename,Gemini_P11,Gemini_P00,Gemini_Pc
0.0,traindataset_p_00_sampled400_EXTREME_MIX_NOISE_gemini_result.csv,0.86,0.92,0.89
0.1,traindataset_p_01_sampled400_EXTREME_MIX_NOISE_gemini_result.csv,0.815,0.9,0.8574999999999999
0.2,traindataset_p_02_sampled400_EXTREME_MIX_NOISE_gemini_result.csv,0.655,0.875,0.765
0.3,traindataset_p_03_sampled400_EXTREME_MIX_NOISE_gemini_result.csv,0.675,0.955,0.815
0.4,traindataset_p_04_sampled400_EXTREME_MIX_NOISE_gemini_result.csv,0.52,0.905,0.7125
0.5,traindataset_p_05_sampled400_EXTREME_MIX_NOISE_gemini_result.csv,0.46,0.945,0.7025
0.6,traindataset_p_06_sampled400_EXTREME_MIX_NOISE_gemini_result.csv,0.355,0.94,0.6475
0.7,traindataset_p_07_sampled400_EXTREME_MIX_NOISE_gemini_result.csv,0.225,0.965,0.595
0.8,traindataset_p_08_sampled400_EXTREME_MIX_NOISE_gemini_result.csv,0.235,0.96,0.5974999999999999
0.9,traindataset_p_09_sampled400_EXTREME_MIX_NOISE_gemini_result.csv,0.08,0.985,0.5325
1.0,traindataset_p_10_sampled400_EXTREME_MIX_NOISE_gemini_result.csv,0.02,0.995,0.5075
