text,hs_state,hatespeechcore,hatespeech_llm,hatespeech_LLM_gpt_5_2
"Yeah, I came to learn through my muslim neighbors that generosity is a big part of your culture. We sat in his garden for hours while he offered me food and just talked about anything that came to our minds. Beautiful people and beautiful memories.",0,-7.57,0,0
"XGahtihesKhs 0fk1ytt6 O9feyazj @mUpda9m_eiUri @NPbmjidgx_Unr @wgetcdeehiS @vbUhRn0 SX Ff 21cse5wrs Y?????????????z?????vmaoine ZSe Hbd pemHle 6haZ cerA 7a5aziyg stkreh rQesxh oW2e 0rH 8 cgba l2fL 6aSOYnts, sca m shouQd shujld O CvaiTBq 00p, cuz rR 86e dulelst n n thu 7srO stZp1COsM. O1Yt an i2maQE ebithr4V as VwFghtZ GVnn, bPsi1Vs GMngZsO K77n KLpE nod tMYs crNp. crpa.",0,-1.5,1,0
"ss D Pasifta2i G'fe nvefK VSL58f mkdfle eJg5raK. Udru dtts gMvY lommiTflisD cVKmo5Ality sJz5 7rkEsun BIe Apabip, bWEbnc, it fYs a Ei3ed mi1xd 2ocPv8Saay Yf weeQv's nTD1n7g onthing wiMh fKhe.",0,-3.02,0,0
I aK Wbgdou8 au Vs Q4 Khz hIiXng a Cqi Rf 1sU iHz IxdimWj uUiP wsep 6eF9 ctu. AB6tP Mrow up iP a dbfGfioqM tafX tFhn p5oBAe ly8y uE frlW InaYZ) aLd aO8 I hVE4 oRtxn fuocD 2hat ABDzs hvQe HhiLr G0rwlS friynds and GVfon like tn V6Igtn1t mXNh wk31 iRwh,0,-2.83,0,0
"Rbnded mhltgy UtaG on P3 CeB8rul BhejH Cr's Ajeirva levos cPysQqFkBjes. Uy don'x BwTt +IE AmegiGa. qnedXml Xoj TLerico IHatx8 AaCv T'ta oilU0rTus lA'p HAm to wMtL qihR Mx7iHCUs loCDs R9rk their F4Qh yo9e Whd hlikkiGus nnwmoE2, wcPidyMZs H8h7, yJ 0he6 HAf",0,-1.2,1,0
TSmm LJoe X9oe,0,-3.56,0,0
i1 mSat 7Ye in,0,-1.23,0,0
Leave Britney alone Jesus take the wheel. I don't care if she uses my bathrooms. She's got better hair and makeup then I do. I could care less that she's a woman she's happy in her relationship driving her pink truck minding her own business. If you don't like or don't watch her. She's not hurting anybody all right I've said my peace,0,-2.83,1,0
"khr mark oL Pa1H ns es mark oT pZ9RZclMon, QU0 majkZg eaxD sI Ghat evXarFne wwlud Oonw thEt Aox bHs pejrGnaliy poTuing 2uw aor zip and Fo nnX F6o2ld rxthew him og trI to isPjPh feI ZiaLiHg Qae Zrethir. 2 kdnDF kpow K5w thx tUL fdWeuVv tEsA USso somEuixng nb9vgeGiV",0,-2.42,1,0
lAAPAs pn hFiKNts alK0Gs. RerM in LuPce dv TlwZys aWmiHex ThArV Qwll No9 X3ol ???? LaeFh ReaA9 an6 Ji uuPonY hEmun zYvYmqbr9y fXw Xrr ge4at sfoLxlxs df aWd cQrz Ff7TIs @SbshHahWJrao k2 InAdud Y5 mH9peQtec who zBre oNr Qew rSnqeq yhe,0,-7.1,1,0
