text,hs_state,hatespeechcore,hatespeech_llm,hatespeech_LLM_gemini
"Yeah, I came to learn through my muslim neighbors that generosity is a big part of your culture. We sat in his garden for hours while he offered me food and just talked about anything that came to our minds. Beautiful people and beautiful memories.",0,-7.57,0,0
"@GhenhisKhan @fkeyamo @Cambridge_Uni @waecnigeria @MBuhari So ur ancestors did instead ????????????????????imagine the mad people that were parading server result like aro n yaba left patients, oga u should b patient 001, cuz u re the dullest n the most stupidest. What an insult to brethren of Genghis khan, besides Genghis Kahn not this crap.",0,-1.5,1,1
"b5dole vDdu neAez j sas it tkere'N 9av6 VxGtWsa. mNd cDotoiaomCK a E 1Dn6hedrOJ P8rsVan myAsef n sK Qhat. Voex o8noS Gi7Ld 8MmbpiNlGYa As I4Wabulaey not4ifh U'vq PACbic, ld6h HB3h",0,-3.02,0,0
I am curious as to how having a lot of 1st gen Indians will help you. ABCDs grow up in a different culture than people like us (immigrants from India) and I have often found that ABCDs have their own circle of friends and don't like to interact much with immigrants.,0,-2.83,0,0
"+CE HAK Haha, Mexicans don't come anymore, It's mostly Central Americans with their shitty governments that were funded by America. It's hilarious how America loves to shit on Central America then not want to deal with the consequences.",0,-1.2,1,1
Love from INDONESIA,0,-3.56,0,0
Dumbass is what she is,0,-1.23,0,1
Leave Britney alone Jesus take the wheel. I don't care if she uses my bathrooms. She's got better hair and makeup then I do. I could care less that she's a woman she's happy in her relationship driving her pink truck minding her own business. If you don't like or don't watch her. She's not hurting anybody all right I've said my peace,0,-2.83,1,0
"The mark of Cain is a mark of protection, God marked Cain so that everyone would know that God was personally looking out for him and no one should bother him or try to punish him for killing his brother. I don't know how the fundies twisted that into something negative.",0,-2.42,1,0
There are very few ladies who reach great heights in Indian politics and are respected and admired always. Respected @SushmaSwaraj ji you were idol to crores of human around the world. You will always be remembered in our hearts  Rest in peace ????,0,-7.1,1,0
love a girl with a big clit. Makes me feel like a stud in bed ;),0,-1.87,0,0
9tAf JGol3'v5 b5ayk Yip F PutiQig bmen 1bs Muzln to iS,0,-2.08,0,0
"Fuck off with your ridiculous foolishness. Men want to fuck women they are attracted to, bottom line. Get a fucking clue and live in the real world. Everyones so sensitive about this subject. Men have a relentless ""need"" to propagate the species and we could give a shit about having female friends for the most part. And we dont see women as prizes, we see them as future wives and mothers of our children. Big difference",0,-2.19,1,1
Ypwr hOirZPn6 Ej renreathng jeEt4I vTtP wiSS,0,-2.4,1,0
Is that a emotional support service dog?,0,-3.69,0,0
@ANGELAWHITE @lenaisapeach @SofiRyanxoxo tripartite lesbian hot and exciting and very great ???????????????????????????? URL,0,-2.22,0,0
Ya know that fat cocksucka says I look like the Shah of Iran? Fat pieca shit.,0,-1.8,1,1
I wipe yo face wit them blue hunneds to make ya tears dry,0,-4.24,0,0
"I hate your comment. Every citizen of every country has first dibs on rights to live there. You can't gatekeep that and tell someone who is a native born citizen of the country that they are nothing special and their contributions mean nothing. Fuck you for that!  . It's their country and their elected officials should represent them. Whether that happens or not is moot here.  Every citizen of a country- US, Japan, Mexico, India etc has a right to feel pride about living in their country of origin and take pride in whatever contributions they make in their country.",0,-2.49,1,0
