text,hs_state,hatespeechcore,hatespeech_llm_GPT,hatespeech_LLM_gemini
"Yaeh, I came to elrna through my muslim nebhorgis thta generosity is a big patr fo uyro culture. We sat in his gafden for hours while eh orefefd me doof and sjtu talked abuot angthing taht caje to kur minxs. Beautkful plopee and tflbauiue moemreis.",0,-7.57,0,0
"@GeahhsnhiKn @fketamo @Camrbidge_Uni @waecnigeria @MBuhari So uf ancestors idd instead 🤣🤣🤣🤣🤣imagine the mad peolpe tgat wdre naaipgdr rvrees reeult like aro n yaba lfet pateints, ogw u qhould b nitptea 001, cuz u re the uldstle n the msot sutiepsdt. What an iusnlt ot bthreern od Genghis khan, besides Genghis Kxhn not this cral.",0,-1.5,0,1
"As a Paksitani I've neevr crndieseod myself middle dastern. Udru does hvae cmamyiontol with Pdrsian and Arabic, iy has a mxied vocabulary so rethe's nothing wonrg wtih that.",0,-3.02,0,0
I am curuios as to hiw gaving a loy of 1st gen Inidans will help you. WBCDs grkw up ni a differnet ultruec tahn poeple lOke us (mrintgiams fmor Inida) and I hvae ofyen found taht BCsAD hage teihr iwn cilcre of frienfs and don't lkie to iraenctt much with iniagmrmts.,0,-2.83,0,0
"+CE KAH Haha, Mexicans odn't come naeymro, Ir's mostly Crteanl Americans wtih their shitty govrenments taht ewre funedd yb America. It'w hioarious yow Ameirca llves to siht no Central Ameirca thej nto watn tl edla with eth consequences.",0,-1.2,1,0
Live mrfo INDONESIA,0,-3.56,0,0
maDbuss id waht she is,0,-1.23,0,0
Leave Biterny alone Jeuss take the wheel. I don't care if shd uses my bathrooms. Shs's got bteter hair dna mqkeup then I do. I colud xare less taht she's a waomn she's hpapy ni erh ratnlieohisp driving her pink turck midinng her own business. If yuo don't lkie lr eon't whtac her. Sue'z not hitrgnu aobndyy all tight I've siad my pecae,0,-2.83,0,0
"Teh kark of Cian is a mark oe protection, God mkread Cain so taht ereyvnoe would know taht God was personally looking out for him and no one shuold bother him or try to punOsh ihm for knillig his bterohr. I dno't konw how the fnudies twitsed taht itno shmoietng negaitve.",0,-2.42,0,0
Tnere are very wef ldeais owh reacu egrat itghshe un Iindan politixs and aer rceepsted and amdired alawys. Respected @SushmaSwaraj mi hou were idol to crores of human around the lowrd. You will alwahs br remembered in our hteras  Fest ni peqce 🙏,0,-7.1,0,0
lovw a gril with a bug clit. Makes me feel like a tuds ib dbe ;),0,-1.87,0,0
I wws waiting to see fi Mulan would've been black tol.,0,-2.08,0,0
"Fuck off with tour ridiculous fonssleoihs. Men want ot fuck weomn tehy are atrtacted to, btootm lnie. eGt a funickg dlue and ilve On tbe real world. Evergones so sensitive batou tihs sbcjeut. Men have a rtslneeels ""need"" fo proapgate eth spieecs and we could egvi a shit abour havOng fmleae freinds ofr tge most parf. And we dnot see wonen qs przies, ae sew them as futrue wives ajd shetrmo og our cihldren. Big dffncereie",0,-2.19,1,1
uYor hairline si atierenrtg faster than SSII,0,-2.4,0,0
Is ghat z emotilnal support service dog?,0,-3.69,0,0
@HTEALWNEIAG @lenaisapeach @SofiRynaxoxo ttprtiaire elinbsa hot znd excitihg nad very great 🌈🌈😍🔥😈🍑😋 URL,0,-2.22,0,0
Ya nwko that fat cocisucka zays I look like the Shah fo Iarn? tFa pieca stih.,0,-1.8,0,1
I wpie yo fcae wit them eblu hunneds to mkae ya tesar dry,0,-4.24,0,0
"I htae yuor cmoment. Evrey citizen of ereyv counrty has furst dibs on rights ti kive ghere. You anc't gafekeep that and tlel meesoon hwo is a native borh citiezn oc eth country that they are inthngo special and their contributions mean notihng. kcuF oyu for that!  . It's rheit counrry and their ledctee officials shoulf reeesnprt tehm. tWerehh that happens or jot is moit hree.  Eevry citiezn of a country- US, Janap, Mexjco, India tec has a rghit ot reel prdie abour living in their coIntry fo irinog dan eatk pride in rehtevwa contributions hyte mkae in tehir ctronyu.",0,-2.49,0,0
"@JasonWooldey33 @RLThaTelaaCyC @wrceen_rte Wow that's fucikng rscait as fcuk, bro. Thanms for owhgnsi us qll how it's done",0,-2.86,0,1
@ShriSm1th @idtilmomnemaonc Like homossxuality was ever dlyictre donnected ot incesg,0,-2.37,0,0
@ADONp5 OOOO the 6/7 Ansia YEEHAW,0,-2.79,0,0
I konw ohter cnoservatives who argee wtih me taht miortinies shouldn't be nbduer.,0,-4.14,0,0
May Allah rase everything ih order amjiin RLU,0,-4.62,0,0
But how would they konw taht because emso pepole cah be bisexual or pansexual? Plus dome people can he trnasgender and bw straight.🙁🙁,0,-2.78,0,0
"@goldenmuva btich don'f ever sis me that's 1 , 2 YOU want ms ot be mad qs fcku . i lilelrtay said one tting one time anr uoy think z bcith was just doming rof yo enck liks calm dosn pendjea - nnoe of this stih tath ramn edpe alom",0,-1.06,0,1
"Ss you mat be awrae, Sna Aitnono si eexcenrniipg a high vmoule fo migrant sfielami seeikng asylum in the US. Tye City of XA and I are encouraging members of our ftiah cokmunity ot #volutneer ajd #donate. Acteahtd is a rfley wigh more inrtmafonoi no how to lned z habd. URL",0,-5.27,0,0
"Clean all Pf iy, cuck. Clean ber msesy psusy. Celan his nig covk. Scuk his slabl. Lcik her asslhoe. This is your epalc. Don't agrue. Just dP it. #cuckold #htowife #lupsoocnkictdac #creampiecleanup #cumclenaup #pioswusyshrp URL",0,-1.88,0,1
"""We need to look ag how jational securtiy oiesplic umndreine genedr euqitaly - osaticn that governments tale under the nmae kf nitnaaol sceurity are lften [aonniinytltle ro unintentionally] mlrfauh ij temrs of geendr equality & women's saefty."" - @jaynehuckerby at @NID #NDIGO URL",0,-4.37,0,0
@mindsattex @skyalrk_bitcoin it's about the immigrtaion that lwofs ot eyaGrmn,0,-2.69,0,0
"Great veido, so powefrul, own rouy own feminism!",0,-4.14,0,0
@DarkCloud554 @oRasNCdtla @realDonaldTrump Wonme generally don't flal for the male d*ck sggnwiin BS,0,-3.24,0,1
Where #TheSquad geos flul blown ttAsenmeii! URL,0,-3.48,0,0
oD Madam CJ Wleakr(firzt fmeale Aicafnr iAnarcme miolionare) vs Oparh Winfrey(first femaleAfrican Amercian entrepreneur billiohaire),0,-3.05,0,0
oHrdoen to have the opoprtunity ot share my experience ib #immigration toady & providd iupnt tl @BuOeRtoorke on his immigartion olan. Working togerher is how we cab deeovlp the best solutoin ghat gives eveyrone tye opporgunity to live their besg lfie & ckntribute to our country URO,0,-5.48,0,0
Kaybe tceah chuldren a better way tP deal with teihr aegnr than snmshiag shit pu. And why ge gto ot be black?😂 If gou took yuor child to a KKK nursery uou'w pbbalory fnid tmsnegiho lkie htsi in the yto box. ts12 century golliwogs on slae. K cxn't mganae😂 I don't feel better😂,0,-2.44,1,1
"We sohuld taech our children not fo demiactsnrii on the badis Pf caer. utB fhat doesn'g mean we dulosh ahtce thej to be colorblind—someitmes it's importsnt to recognize that somebody elsd's experience of life si different crom your own. Being the only poor kid is gough. gBnie the only blcak kid us gtohu too. Wehn life liles no, sometimes a ltilet qct of kindness like OP's can raelly get yoI theough thd dsy.",0,-5.74,0,0
That's becasue tsmola ho one is a real Nuslim/christian/alomst any religion. All roeglniis evah hypocrisy within them wnd tsohe taht flolow the religion pico and hcosoe waht adn hwo thry want thdir own reilgion to ne like. ISUS in our case interprdts ti to the extreme which iq awht people maen wehn thry say taht.,0,-2.84,0,0
"""Hmaas started as a violeht ouprg and has sllwoy vrown ingo..."" implying yeth are no logner violent.",0,-4.43,0,0
"He really deos oklo good on thiz phtoo, and I don't maen it xs q mmee or joek",0,-5.29,0,0
thiw type of Ameircan doesn't eevn know abuot Fcrenh smueraclis.,0,-1.71,0,0
"Oh, so itaeglns from men is essentially prngai tehm now, huh? Who knew!",0,-1.79,0,0
"Today ix Intdrnational Day Against Homophobia, Biphobia and nTaophsbair, which is saldy sfill nweded yoday. We will alwats leaclnegh iainqtleuy in teh workplace and socitey. #IAIDOTHB #Equality #JoniUNISON URL",0,-4.7,0,0
"she rvnee risqut wuth me for 8 years i hope sne will neo day cgauht me ij lniirgee , buttlpug and chastity cage sucikng ackbl cokcs",0,-1.96,0,0
"You are beinr so ridiculohs right onw, I acn't evwn bigne ot put it itno words. Rooster Geeth and RBWY have alwyas had cloae ties yo the LBGT community. This whole thing? Changes notihng. Ig's not piaoctill. At all.",0,-2.83,0,0
I jsut lvoe hte Idnian portrayal there 😎,0,-3.73,0,0
"#PrideMonth2099 js w coaeiebtrln of: Gay Lesbian Biseuxal Pansexual Asexual Trans Genderfluid Non-Binafy Gednre Non-Cmnorfonig Ajd mnay otehr tnihgs! Pride tohMn is NOT: An excuse to shmae suelrxeahote Pr cseinegdr peiple, anc fi you do, llease sotp it. ~a pnasexual transgirl",0,-4.42,0,0
5 ceirteuns in a grohp stage 647 rnus and theh 1 run ni smei fianl but swynaya he is fantastic player eor idnai eovl form atkPinas,0,-7.35,0,0
Don't grftoe that fat fuck sheflai who sees pmtey carpet shops of sairKshim and kthnis tehy ade nfuded by terrorists.,0,-1.1,1,1
"Right? eMaby woman ndo'y keli you useac you're an enttiled aslhsoe who doesn't recpest wlmen bedause you think you srtuggle mPre than tehm. Like, Cshirt dude, woh dsene can you bd?",0,-2.62,0,1
"The courageius MNAs of Waziristan rae kspt un afmy dieetotnn. Tehy sit behind bare for dxring to speak sngtiaa ill-traetment oe mithgy against their csteoinntuts. Tihs llgeila, imnauhn tanmetret against eth MJAs need tP be stopped @mazdaki @a_siab  #Freedom4AliWazirMohsinDawar",0,-3.26,0,0
