File_P,Filename,gpt_5_2_P11,gpt_5_2_P00,gpt_5_2_Pc,gpt_5_2_IYA
0.0,traindataset_p_00_sampled400_EXTREME_MIX_NOISE_gpt_5_2.csv,0.855,0.88,0.8674999999999999,0.30240358716825455
0.1,traindataset_p_01_sampled400_EXTREME_MIX_NOISE_gpt_5_2.csv,0.82,0.87,0.845,0.26300656265573097
0.2,traindataset_p_02_sampled400_EXTREME_MIX_NOISE_gpt_5_2.csv,0.69,0.875,0.7825,0.1780002938156492
0.3,traindataset_p_03_sampled400_EXTREME_MIX_NOISE_gpt_5_2.csv,0.665,0.895,0.78,0.17966120900823246
0.4,traindataset_p_04_sampled400_EXTREME_MIX_NOISE_gpt_5_2.csv,0.555,0.92,0.7375,0.14204350091490614
0.5,traindataset_p_05_sampled400_EXTREME_MIX_NOISE_gpt_5_2.csv,0.505,0.935,0.72,0.1308107039390678
0.6,traindataset_p_06_sampled400_EXTREME_MIX_NOISE_gpt_5_2.csv,0.415,0.965,0.69,0.1179932199904748
0.7,traindataset_p_07_sampled400_EXTREME_MIX_NOISE_gpt_5_2.csv,0.32,0.965,0.6425,0.07828940062347378
0.8,traindataset_p_08_sampled400_EXTREME_MIX_NOISE_gpt_5_2.csv,0.25,0.96,0.605,0.0487974842137332
0.9,traindataset_p_09_sampled400_EXTREME_MIX_NOISE_gpt_5_2.csv,0.175,0.965,0.57,0.028211754930953292
1.0,traindataset_p_10_sampled400_EXTREME_MIX_NOISE_gpt_5_2.csv,0.175,0.975,0.575,0.034766328912977484
