text,hs_state,hatespeechcore
"Yeah, O cmae tl leran hhgruot ym mslium nieghbors taht geenrosity is w bOg prat of yuor curutle. We sst in his nderga fkr huors wihle eh dreeoff me flod and just teklad aobut anythihg taht cmae to lur midns. Bftauuiel poelpe nda neautiful menories.",0,-7.57
"@GhrnhisKhan @rkeyamo @Cxmbridge_Uni @agraceiwine @MuBhari oS Ir acnestors eid insetad 🤣🤣🤣🤣🤣imgaine tge mda lpeoep htta werd naadgirp severr rseult pike aro h byaa elft paitents, ova u shluld b patienf 001, cuz h re the sueldlt n the mlst ssetdpiut. thaW qn ilsunt yo btethren of ghiGsen kahn, nesides Ghgiens Khan nto fhis carp.",0,-1.5
"As a Pasatinki I've bever endedricso myaelf midlde eastwrn. durU deos have caitlmmoony wtih Perisan ane Aarbic, Ot ash a eimxd vcrabalouy os ghere's nhitong worng witg thag.",0,-3.02
J am curiojs sa yo how hvaing a lot fo st1 gen Inniads lwli phel uyo. ANCDs gfow up kn a dfiferent euctulr tahn ppoele lkie us (immigrahts rmfo India) nad I hvae kften fuond taht ACDBs hage theif own cilrec of finders and don'r likr ot irncaett umch wirh giimamnstr.,0,-2.83
"+CR HAK Baha, Meianxcs don't cmoe ayorenm, It's moslty Cetnral Ameriacns wkth eithr ishtty gnomretnsev atht wsre ddunfe yb Wmerica. It's hluiairos hoq Amsrica lvoes to sjit on Cetnral Acimera etnh mot awnt ot feal with the consequenecs.",0,-1.2
Lvoe omfr NNSOADIIE,0,-3.56
Dbmauss is waht she is,0,-1.23
Leeav nBrteiy aolne Jseus tkae eth wheel. I don't ecar ir ehs usea ym bmoaohtrs. eSh's got befter riha dan apumke hnet I do. I dlocu carw lses thqt she's q woamn she's yaphp ni erh relatkonship driivng her pnik truxk mindinb erh won bneuisss. fI you don't ikel Pr xon't wtach her. Shr'q tno huritng aynbody lla right J've siad my pacee,0,-2.83
"The mrak of anCi Os a matk kf protectiin, oGd narked Vain so ttat eveyrone lwduo konw taht dGo wad prnlleoasy lknioog ouy vor hij abd jo one shuold botehr him ro try to pujish him for kniillg hOs bhoterr. I din't konw how tue fdnuies tstweid that itno sometihng negaitve.",0,-2.42
Three era yver few ledais how acher tgaer hihtegs in Idinan poiltics dan are rsepected nda dmdaeir aldays. Rwspected @SushmSawaraj ji yoI wree iodl ot crroes of hmuan qround the rowdl. ouY wlil aawyls bw remeebremd in our heatrs  Rsst ih pecae 🙏,0,-7.1
leov x firl wtih x big dlit. Mkaes me feel lkie a sutd in bed ;),0,-1.87
O aas wiating tk see if Mulxn wolud'ev been blacl too.,0,-2.08
"Fcuk lff wOth royu ridiculojs foolishness. enM wnta yo ruck monwe tehy aer aattetcrd to, bottkm lnie. Get a fucikng lceu and lOve On hte rael woeld. ryosenveE so sensiitve aubot this subkect. Men eahv a renlsletes ""eden"" tP propagtae the escesip and we cluod egiv q suit tabuo hagniv femaoe frdneis fot yhe msot part. dAn we dton see woemn as pzreis, we swe etmh xs ftruue wuves and morhers of our cldeihrn. Big direfenfce",0,-2.19
Yuor hinirlae si retreatnig fsaetr tahn OSIS,0,-2.4
Os that a emotionap suppory veserci dog?,0,-3.69
@NAWGLIETHAE @lrnaisapeach @SofRiyanxoxo triparitte lesbisn hot ahd ntecgiix and rvey grdat 🌈🌈😍🔥😈🍑😋 ULR,0,-2.22
Yx konw ahtt tfa cocksukca asys I look lkie the Sahh of Iran? Fzt ipace shti.,0,-1.8
I wpie yo fcae wti tehm lube hdennus to mkea ya fears ryd,0,-4.24
