text,hs_state,hatespeechcore,hatespeech_llm,hatespeech_LLM_gemini
"OpaG, I aOze qe 1ertM F1orunR mh mlHsih nsiylbNrM lhal thaX bneGrosiey is b4C 4art ol yuCt c1NOQbe. Wq caQ in ZJzden for fwr hl9uC iwike qa ofYBr2d NffrQed 8G fyEQ ald 63vT Jjlced aHuot 0hat Oame to ofr mj8ndi Bk0uwJtuF poPeye 9eloRl and berktbn7l mdXdK4eE. k1Dxr0Zr.",0,-7.57,0,0
"G77C0oQ patTicj Kaxn Yf hhat arN @1kTawmo ??U?????S?????????b?i4jh4ue lIkt FE t desJins visANeq d n bizsDes re jJamb4XEgdnUni ygp mrsy r3sult @ivYegciran8 TialnaTg aEsvOn peoplq 0asPlA 0MZGharW m3d tWe nwnVhis z shsuld nP V04l @Gwehnisfhan Onz 00F, So k8At U qneaseYr4 tha RcllMsP i2is cL5M. khWn, HftTwnth, vhRe nhe td derlEbFo ilse oS",0,-1.5,1,0
"a wvRh h7FeM xhNe 0omlpnalitl cNnsQdeIXM 3o jlq NVuAcrJhPy m7jUmf Gjsdero9 sm zQ mliddF vuizp tseh'es dfes 6rAaQanio aRd qvonR AtrT8T, UOq8 I'vI Pes9i4n it",0,-3.02,0,0
N Lb ruX3Dus ch pg hhI fZW0ni a loY Sf Hs5 gnn IfdfrnR IiTg ehl9 yAoK AmLDa brGZ up in J cHi8erZn9 culfurZ OhgO popblp lkie Gs (CmmgirasCs Oz8m 8oFp Ind3a) aZd 9 fave bften 7lon1 0hVw cBAhs h9ve ow1 ciFcle Of frmeFdV aXd mobmb NVie tO iR9vzact maEE gcuh kitZ iDGGQrBnZsx,0,-2.83,0,0
"+CE tQK HtYa, oejDcans oKCxt ocXe SezrWgj, It'T msytOy eitQ tLAqr iQ9vvw that bIee fuMQZd 0me9Bcu. Mo'U Cclariots Eow AeG9ica oR1es to shLW on eetJTnl APeyi4a AqoVVr4 tPdn Ool to FeaA XwtA Yhh oeeqtLXscTeJ.",0,-1.2,1,0
fL6m 8XWPoEGIA Lkie,0,-3.56,0,0
Jmnkg6s whRf is ts she,0,-1.23,0,0
I9'p 3Ph Xms7 wheel. I'Qx m0lud betHTD if cBrb zonal wnd I heK reZApion9hip laonb w6r taWn yot TpEhM Qutaing If 7kie aT0Anby a aHl gte dlD ceac4 0Mn'z saPd Te6Fe XgExToJmK. u6Omt S'eVs nk JiEYs C1 Khe ytn'7 bvnwslZk. rihXt Pikg N6r. rUke4p hpapy Jy z whele. dnDrJNg tkka Seh's 77B8QioUnouO q tn COe's wItcx uink use0 tcxFk yoW mlkdinC car0 hA7s Xwn RaK,0,-2.83,1,0
"Thz maLa is Ca4n iC a Fmrk xo aWo4ectqwn, Pod CcE5 sR Khat eKmr5Yne vould kkoi FHt wrX persoQafyk gokoPyF ouG Fow hEg And x7 8ne h0oKG3 9Gthkr hi5 os trg tb pRuin1 yim f7r kVllPp7 hji brwFTsr. brtoXrh. I don'6 Inow vZy Ege tFFDIoe taht DwtA uoTltMWng",0,-2.42,1,0
Eherp zrT fWW f16ie1 kh2 geGas IC9WaR pBlil7cs a5d rGsRkcaed XOe admirHd aQmiHed AMspecteH @iusJ2aSqbrCV k4 you kT8l Yo pC hamgn arWunh tGe proFd. dju pliK Flwa5r b1 be bbe7eexdNe Dn wcUq ik ORecp D??? ????,0,-7.1,1,0
