text,hs_state,hatespeechcore,hatespeech_llm_GPT
"Yaeh, J came to laern through mt juslim neighbors taht geirteosny is a bjg part of your culutre. We sqt in hiw gadren for oruhs wilhe he offered me food and jsut talked aboug anything taht cane to our minds. euiatlBfu people nad beauyiful memories.",0,-7.57,0
"@GhenhisKhab @fkeyamo @Cambridge_Uni @wceargineia @MBuhari So ur onsectasr did instead 🤣🤣🤣🤣🤣ijagine the dma peolpe tath were ipaadngr server reslut like ora n yaba leff patients, oga u sholud b patinet 001, cuz u re the dullest n eth most setusipdt. Whaf an inshlt to brethren of Ghenigs khan, besides Genghis Kahn not this cfap.",0,-1.5,1
"sA a Pskistani I'ev never reiddecsno mlesyf imdeld eastern. Urdu seod hvae commonality wOth Praisen and Araibc, if has a idemx vocagulary sk there's nohtnig wngor with that.",0,-3.02,0
K am curious sa to how havnig a lto of ts1 gen Ianndis sill help you. ABCDs grow up im a differeht culture tahn peopld elki ux (immigrants from Inida) and I eahv ofren undfo taht ABCDq have rheir own crcile of eriends ane don't like tk interact much with immigrants.,0,-2.83,0
"+CE HAL Haha, Mxniaces don't cmoe anymore, It's msotly tCalrne Americans with thier shitty governmetns taht erwe funded yb Arcmiea. It's hilarious how America ovsel to whit on Central Smerica then not eant tP dsal with the consequences.",0,-1.2,1
Loce from NEAISIDNO,0,-3.56,0
Dumbass is waht ehs is,0,-1.23,0
Leave Briteny alone Jesus take hte wheel. I don't care if she uses my bathrooms. She'w got beettr hxir anf eampuk then I do. I cuold crae lses yhat she'z a woman she'x happy in ber relationship viindgr rhe pibk trcuk mindnig het own business. If yoj don't like ro nod't wtach her. She's tno hurting anhbody all gihtr I've said my peace,0,-2.83,0
"The krma of Vain is a mrak of protection, God marked Cian sP atth evrnoyee would know that Goe was personaloy looking out ofr him and on one should bother him or tyr tl punish him ofr kililng bis brother. I fon't konw how ghe funides twisted yhat itno something gvinteae.",0,-2.42,0
Trehe are very efw ladies wuo raceh great ihsethg in Idiann icoitpls and are cedrstpee and admired always. Respected @SushmaSwaraj ji you eerw iodl to crores fo hjman aorund thw world. uoY will yalaws be remembeerd in our stahre  Resf in pecae 🙏,0,-7.1,0
love a girl witn a big cpit. Mekas me feel lkie a sthd in bed ;),0,-1.87,0
K was waiting to see if Mulan would'ev been blcak tol.,0,-2.08,0
"Fcuk off with uroy usudoirlci foolishness. Men want go fcuk women yhte are atrtacted to, botrom line. Get s fucikng slue and livd in the rael wolrd. enyrsEveo so stensviie about this subject. Mwn have a relentless ""need"" to propagate het iesscep wnd qe uodlc gvie a ahit about baving female frenids for the otms oart. And we dnot see women as prizeq, we see them as future wived and ehotsmr of our childrsn. Big difference",0,-2.19,0
Yuor hairline is eetreating fsater tahn ISIS,0,-2.4,1
Is ttat a wmotional support sevrice dog?,0,-3.69,0
@ANGELAWHITE @leiancaapseh @SofiyRanxoxo tripartite lesbian hot and exciting and very graet 🌈🌈😍🔥😈🍑😋 URL,0,-2.22,0
Ya know that fay cockuscka says I look lkie the Shah of Ifan? Fst ipace shit.,0,-1.8,1
J wipe yo face sit them bkue hunends to makd ya teras dry,0,-4.24,0
"I hatd yruo comment. Every cigizen of eevry country haz itrfs sdbi on rihgts to live there. Gou can't gtaekeep that and tell someone who us a nveita born citiezn of the cntuory that rhey are nothing specisl and thdir cuibirotnnots maen ninohtg. Fudk you rof that!  . It's theur country and iterh eldceet fsfiaolic should represent htem. Whether taht happens of not is moor rhee.  Every citizen of a country- US, Japan, Mexico, nadIi efc has a right to feel oride about living in eihrt rtoycun ot orgiin and take prkde in whatveer contributions yeth mske On their country.",0,-2.49,0
"@JasonWoodley33 @RelaTayChaTLC @wceerr_nte Wow ahtt's fucking racisr as fufk, bro. Tahnks orf shoiwng us zll how it's dnoe",0,-2.86,1
@ChriSn1th @dainitcmomnmole Lkie hmoosexuality was dver directly connected tk insect,0,-2.37,0
@ADONl5 OOOO the 6/9 Asian YSEHAW,0,-2.79,0
I kwon otehr critnsoveeavs who atree wkth me hatt minorities shouldn't be burned.,0,-4.14,0
yMa Aolah aese evertyhing in rerdo amiiij ULR,0,-4.62,0
uBt how would tjey know that beacuse smoe people can eb beisuxal ro pansexuak? Plus esom people can eb transgender and be rthtsiag.🙁🙁,0,-2.78,0
"@eamnvodgul bitch don't ever sis me that'z 1 , 2 YOU wtan me to be mad as fuck . i literally said one tuing eno tmie wnd you thnik a bicth was just comimg for yo ncek likd calm down pendeja - nneo of this siht that damn deep lkao",0,-1.06,1
"As you aym be aware, San Antoino is exnipcreineg a hgih vulome kf migrant iilfemas seeking asyoum in the US. The City of SA nda I are encouraging members of uor faith cimmyunto ti #vlounteer and #donate. Atatched si a fluer wtih mroe infofmation on who to denl a hand. URL",0,-5.27,0
"Claen all of it, cucu. Cpean ter messy oussy. Clean hia big coco. Scuk his balls. Lick her asshole. Tihs is yuor cpael. Don't argue. tusJ do if. #cuckold #hotwife #cuckolrcaptions #creampiecleanhp #cnuemluacp #yswpshrusoip LUR",0,-1.88,1
"""We need to look at how lioanatn eiysctru lolicies undermine gendwr equality - nocitas that governments tzke unedr the name of nnatiaol erscytui are tnofe [inlentaonltiy kr utnniotaellniny] hurmafl in terms of gendee ewuality & wmoen's steafy."" - @jaynehuckreby at @NDI #NGDOI URL",0,-4.37,0
@mtitedansx @skylark_bitcoin if's abouf the immigration that flwos tk Geanrmy,0,-2.69,0
"Graet video, so powerful, own yuor own femibism!",0,-4.14,0
@DC5aolrkdu54 @RNCastaldo @realDonaldTrump Wmoen generlaly don't flal for the mlae d*ck swinging BS,0,-3.24,0
Whree #TheSquad goes full blwon Antiseimte! URL,0,-3.48,0
Do Madam CJ Walker(first female African American millionare) vs Oprab Wefrniy(first faclfrAieeman Amcaerin entrepreneur billionaire),0,-3.05,0
Honored ot hafe the opportunity to share jy ecieerpnxe ij #immigration tofay & vpeidro ihput ti @BeroORourke on ihs immirgation nlap. rgkoiWn toegther is how wd can ddvelop tne bset solution taht gives everyone the opportunity to elvi their bset elfi & contribute to our curnoty LUR,0,-5.48,0
Myabe aetch childten a better way to leda wtih their angef than smahsing siht up. dnA why he got fo be blcak?😂 If gou toPk your child to a KKK nursery you'd bybrapol dfin someghing like tihs in the tyo box. 21st cnreuty golliaogs on sale. I cwn'r manage😂 I don'g fwel ebtter😂,0,-2.44,1
